price,year,manufacturer,model,condition,cylinders,odometer,transmission,drive,type,lat,long
4800,2005.0,7,226,3,2,144000.0,0,1,1,34.843192,-92.337175
5900,2001.0,5,463,0,5,165417.0,0,2,4,32.532619,-93.719604
5900,2003.0,2,1048,0,4,89714.0,0,2,0,32.532619,-93.719604
5500,2012.0,5,491,2,2,155920.0,0,1,2,33.6736,-93.6068
5675,2011.0,8,372,2,2,115800.0,0,1,8,35.1322,-118.449
5995,2013.0,4,330,2,2,123998.0,0,1,5,35.38131,-119.0204
4499,2007.0,2,252,0,2,177400.0,0,1,1,35.387865,-119.018015
5998,2007.0,12,111,0,2,181954.0,0,1,5,35.337358,-119.016669
5999,2004.0,6,1148,0,5,198789.0,0,0,0,35.387307,-119.018179
4999,2011.0,2,590,0,2,131975.0,0,1,8,35.387282,-119.018108
3995,2008.0,16,633,0,3,146842.0,0,1,5,34.34568,-119.072296
4995,2007.0,9,669,0,4,144230.0,0,0,0,34.34568,-119.072296
4995,2003.0,5,436,0,4,238712.0,0,2,0,34.34568,-119.072296
4995,2004.0,2,1048,0,5,139947.0,0,2,0,34.34568,-119.072296
3995,2005.0,8,1069,0,4,160083.0,0,1,0,34.34568,-119.072296
3995,1998.0,0,22,0,2,136298.0,0,2,1,34.34568,-119.072296
3995,2002.0,2,168,0,4,176321.0,0,2,0,34.34568,-119.072296
3995,2004.0,15,914,0,4,183816.0,0,1,3,34.34568,-119.072296
3999,2006.0,13,1097,2,2,192393.0,0,1,2,35.352432,-119.156513
3998,2000.0,2,601,0,4,129991.0,0,1,5,35.337358,-119.016669
5995,2010.0,5,539,0,4,138917.0,0,0,5,39.746191,-121.89503
3990,1999.0,2,1086,3,4,51000.0,0,1,3,38.606405,-121.447661
5990,2008.0,13,1032,3,4,135775.0,0,1,0,38.606405,-121.447661
4495,2006.0,16,628,2,3,155027.0,0,1,5,39.746191,-121.89503
5995,2014.0,5,491,0,2,167713.0,0,1,5,39.746191,-121.89503
1598,2002.0,15,46,2,4,300000.0,0,0,0,39.776165,-121.592105
5990,2005.0,5,401,2,4,134000.0,0,0,0,38.606405,-121.447661
4500,2003.0,15,700,0,2,192000.0,0,0,0,39.7458,-121.8444
5995,2009.0,12,899,0,2,95477.0,0,1,5,38.611926,-121.423565
4300,2002.0,15,596,2,4,251250.0,0,2,0,36.816193,-119.695174
5999,2008.0,12,899,0,2,126900.0,0,1,5,36.816193,-119.695174
4999,2003.0,7,375,0,2,180000.0,1,1,0,36.754886,-119.790578
